chr	start	end	tssID	left_closest	right_closest
Chr10	87725722	87725745	Chr10	33891	33914
Chr11	75648624	75648658	Chr11	10102	10136
Chr12	23686233	23686258	Chr12	85047	85072
Chr12	52125485	52125528	Chr12	25033	25076
Chr12	83108457	83108506	Chr12	14488	14537
Chr13	11539865	11539885	Chr13	14293	14273
Chr13	20502776	20502797	Chr13	135435	135414
Chr13	23739660	23739683	Chr13	239109	239086
Chr13	56936294	56936318	Chr13	114337	114313
Chr13	72089607	72089627	Chr13	6712	6732
Chr13	72738013	72738037	Chr13	3168	3144
Chr13	77490692	77490720	Chr13	1877	1849
Chr13	77573745	77573774	Chr13	18422	18451
Chr14	36401439	36401466	Chr14	1154	1127
Chr14	48142555	48142582	Chr14	61195	61222
Chr15	199684	199716	Chr15	26747	26715
Chr15	5485216	5485249	Chr15	9808	9775
Chr15	40904678	40904729	Chr15	15793	15844
Chr15	48625027	48625059	Chr15	262410	262378
Chr15	57455103	57455124	Chr15	124793	124772
Chr15	70050765	70050785	Chr15	395407	395427
Chr16	2096749	2096772	Chr16	236408	236431
Chr18	17415215	17415236	Chr18	24038	24017
Chr18	53615725	53615753	Chr18	87088	87116
Chr18	62771161	62771197	Chr18	12339	12375
Chr19	24885980	24886001	Chr19	297635	297656
Chr19	25116564	25116607	Chr19	382749	382706
Chr19	46021522	46021542	Chr19	6104	6124
Chr1	73804628	73804654	Chr1	71622	71648
Chr1	90973652	90973685	Chr1	71978	72011
Chr1	121506413	121506444	Chr1	20943	20912
Chr20	31807065	31807086	Chr20	78353	78332
Chr20	32033530	32033573	Chr20	57329	57372
Chr20	34555538	34555561	Chr20	63901	63924
Chr20	42551291	42551337	Chr20	11367	11321
Chr20	44412250	44412277	Chr20	104814	104787
Chr20	46592455	46592481	Chr20	108663	108637
Chr20	51215994	51216016	Chr20	38580	38558
Chr21	26598445	26598470	Chr21	7619	7594
Chr21	57560275	57560302	Chr21	3804	3831
Chr22	21376422	21376447	Chr22	200320	200345
Chr22	35772441	35772467	Chr22	170741	170715
Chr22	41781487	41781507	Chr22	34032	34052
Chr23	29823705	29823731	Chr23	48268	48242
Chr23	48210768	48210789	Chr23	13550	13571
Chr23	50941344	50941368	Chr23	2821	2845
Chr24	5515544	5515567	Chr24	68321	68344
Chr24	10998197	10998222	Chr24	48363	48388
Chr24	12800635	12800669	Chr24	1515	1481
Chr24	20787923	20787943	Chr24	44105	44125
Chr24	27274553	27274575	Chr24	8916	8894
Chr25	4271947	4271969	Chr25	33410	33432
Chr25	15482954	15483001	Chr25	3561	3608
Chr25	20327219	20327245	Chr25	212118	212144
Chr26	13366273	13366301	Chr26	3419	3447
Chr26	18028743	18028764	Chr26	19423	19444
Chr26	23750622	23750642	Chr26	78854	78834
Chr27	3328701	3328765	Chr27	8488	8424
Chr27	13282086	13282106	Chr27	114544	114524
Chr27	32018850	32018889	Chr27	1304	1265
Chr27	47284326	47284346	Chr27	139802	139822
Chr28	821712	821734	Chr28	19781	19803
Chr28	44000013	44000047	Chr28	51823	51789
Chr29	14483890	14483911	Chr29	20018	20039
Chr2	1273202	1273238	Chr2	9606	9642
Chr2	14696501	14696524	Chr2	140057	140080
Chr2	77133009	77133030	Chr2	26996	26975
Chr2	117384664	117384685	Chr2	9555	9534
Chr2	119237556	119237582	Chr2	166270	166296
Chr30	542576	542598	Chr30	1137	1115
Chr30	4506436	4506471	Chr30	1550	1515
Chr30	7848375	7848396	Chr30	101071	101050
Chr30	7955661	7955696	Chr30	6215	6250
Chr30	8798993	8799015	Chr30	8976	8998
Chr30	9638594	9638618	Chr30	106838	106814
Chr30	11344498	11344521	Chr30	73719	73742
Chr30	11516201	11516222	Chr30	138005	137984
Chr30	14364592	14364612	Chr30	1659	1639
Chr30	16114778	16114802	Chr30	21371	21395
Chr30	16481934	16481976	Chr30	101811	101769
Chr30	18148741	18148768	Chr30	39508	39481
Chr30	18215958	18215985	Chr30	13197	13224
Chr30	18511061	18511081	Chr30	9548	9568
Chr30	20948977	20949002	Chr30	2073	2098
Chr30	29188289	29188311	Chr30	12713	12691
Chr30	35013921	35013945	Chr30	37265	37241
Chr30	35242914	35242936	Chr30	143260	143238
Chr30	36860517	36860539	Chr30	16479	16457
Chr31	8887574	8887617	Chr31	71185	71228
Chr31	24380700	24380721	Chr31	8245	8224
Chr31	27683622	27683646	Chr31	8119	8143
Chr31	28238034	28238061	Chr31	25419	25392
Chr31	29208764	29208784	Chr31	1800	1820
Chr31	29559336	29559371	Chr31	446	411
Chr3	775252	775274	Chr3	390	412
Chr3	1282335	1282362	Chr3	22975	22948
Chr3	1285368	1285398	Chr3	19942	19912
Chr3	1864186	1864207	Chr3	16465	16486
Chr3	2598913	2598949	Chr3	66264	66228
Chr3	3521652	3521674	Chr3	201068	201046
Chr3	5558659	5558687	Chr3	186	158
Chr3	7212538	7212566	Chr3	10960	10932
Chr3	9600498	9600534	Chr3	92	56
Chr3	9963080	9963109	Chr3	1604	1575
Chr3	11165695	11165719	Chr3	51765	51789
Chr3	21670031	21670056	Chr3	16127	16102
Chr3	38675695	38675715	Chr3	200910	200930
Chr3	62173623	62173643	Chr3	18415	18395
Chr3	70910324	70910359	Chr3	211378	211413
Chr3	71872547	71872571	Chr3	82082	82058
Chr3	74161510	74161541	Chr3	90342	90373
Chr3	80131821	80131861	Chr3	746206	746246
Chr3	82970363	82970397	Chr3	129825	129859
Chr3	99007697	99007725	Chr3	9396	9368
Chr3	114343372	114343392	Chr3	11976	11996
Chr3	115651152	115651244	Chr3	3228	3136
Chr3	122302353	122302374	Chr3	31629	31608
Chr3	124775927	124775970	Chr3	18675	18718
Chr3	125046045	125046071	Chr3	1199	1173
Chr3	129233950	129233970	Chr3	18962	18982
Chr3	129539036	129539086	Chr3	39855	39905
Chr3	129630672	129630692	Chr3	5306	5326
Chr4	589700	589757	Chr4	17234	17291
Chr4	7316230	7316256	Chr4	10519	10545
Chr4	21973503	21973534	Chr4	42888	42919
Chr4	26007161	26007189	Chr4	6658	6686
Chr4	30023082	30023115	Chr4	48294	48327
Chr4	30166689	30166714	Chr4	4859	4834
Chr4	31454203	31454223	Chr4	10066	10046
Chr4	31928691	31928718	Chr4	284	257
Chr4	36763011	36763032	Chr4	7910	7931
Chr4	38440858	38440897	Chr4	383875	383836
Chr4	41792307	41792335	Chr4	169594	169622
Chr4	42428290	42428315	Chr4	435	410
Chr4	49190312	49190343	Chr4	2426	2395
Chr4	63458669	63458710	Chr4	117055	117096
Chr4	71907847	71907870	Chr4	24339	24362
Chr4	82344246	82344286	Chr4	29403	29443
Chr4	85309445	85309469	Chr4	11876	11852
Chr4	110699005	110699036	Chr4	347114	347145
Chr5	8200622	8200643	Chr5	32322	32301
Chr5	9372928	9372961	Chr5	1156	1123
Chr5	25486059	25486081	Chr5	89538	89560
Chr5	25821102	25821124	Chr5	108190	108168
Chr5	27480862	27480882	Chr5	225802	225822
Chr5	36571285	36571308	Chr5	1663	1686
Chr5	36881285	36881305	Chr5	162845	162825
Chr5	77984000	77984041	Chr5	15663	15704
Chr6	33430764	33430791	Chr6	81157	81130
Chr6	46383127	46383148	Chr6	141830	141851
Chr6	47054963	47054983	Chr6	1754	1734
Chr6	103286573	103286596	Chr6	2430	2453
Chr7	25325806	25325835	Chr7	114094	114123
Chr7	49107785	49107834	Chr7	38096	38047
Chr7	70226370	70226392	Chr7	203	181
Chr7	83554872	83554896	Chr7	81295	81271
Chr7	87474972	87474999	Chr7	18555	18582
Chr8	26956123	26956190	Chr8	2558	2491
Chr8	29151781	29151806	Chr8	78824	78799
Chr8	37531406	37531426	Chr8	47129	47149
Chr8	52013360	52013383	Chr8	56040	56017
Chr8	58427153	58427176	Chr8	7265	7288
Chr8	59027799	59027836	Chr8	7387	7424
Chr8	60410517	60410538	Chr8	51765	51744
Chr8	70288893	70288916	Chr8	30245	30222
Chr8	70924952	70924979	Chr8	11634	11607
Chr8	81978749	81978802	Chr8	2245	2192
Chr9	52281284	52281315	Chr9	37343	37374
Chr9	74787255	74787277	Chr9	25075	25097
Chr9	77979057	77979091	Chr9	20696	20730
Chr9	96747339	96747401	Chr9	436	374
scaffold40	335430	335452	scaffold40	2134	2112
